b27885f | Người: trngnneee | Ngày: 2026-01-07 | Nội dung: Giß╗¢i hß║ín chiß╗üu cao feedback
c6190d4 | Người: khoavadienq | Ngày: 2026-01-07 | Nội dung: Add autobid
9d871a6 | Người: khoavadienq | Ngày: 2026-01-07 | Nội dung: Add autobid
a91418f | Người: trngnneee | Ngày: 2026-01-07 | Nội dung: Merge branch 'main' of https://github.com/trngnneee/CSC13008_Web-Application-Development
a94bce2 | Người: trngnneee | Ngày: 2026-01-07 | Nội dung: Feat: Hiß╗ân thß╗ï ds feedback cß╗ºa bidder cho seller thß║Ñy, fix lß║íi bidder c├│ thß╗â thß║Ñy ds feedback cß╗ºa seller
e061478 | Người: khoavadienq | Ngày: 2026-01-07 | Nội dung: Merge branch 'main' of https://github.com/trngnneee/CSC13008_Web-Application-Development
cf19475 | Người: khoavadienq | Ngày: 2026-01-07 | Nội dung: Add send email feature
fc0e46d | Người: trngnneee | Ngày: 2026-01-07 | Nội dung: Feat: Hiß╗ân thß╗ï ds feedback cho sß║ún phß║⌐m
0df76c6 | Người: khoavadienq | Ngày: 2026-01-07 | Nội dung: Change from service_judge to rating
67448b9 | Người: trngnneee | Ngày: 2026-01-07 | Nội dung: Merge branch 'main' of https://github.com/trngnneee/CSC13008_Web-Application-Development
e3e0f00 | Người: trngnneee | Ngày: 2026-01-07 | Nội dung: Hiß╗ân thß╗ï ─æiß╗âm ─æ├ính gi├í v├á chi tiß║┐t ─æ├ính gi├í
0a52703 | Người: khoavadienq | Ngày: 2026-01-07 | Nội dung: Merge branch 'main' of https://github.com/trngnneee/CSC13008_Web-Application-Development
c5e1653 | Người: trngnneee | Ngày: 2026-01-07 | Nội dung: Fix: Gß╗¡i mail khi kick v├á hß╗ôi phß╗Ñc ─æß║Ñu gi├í
b78544c | Người: khoavadienq | Ngày: 2026-01-07 | Nội dung: Feat thanh to├ín
1ff968e | Người: trngnneee | Ngày: 2026-01-07 | Nội dung: Fix: Gi├í trong detail
f567b0a | Người: trngnneee | Ngày: 2026-01-07 | Nội dung: Feat: Hiß╗ân thß╗ï ds ng╞░ß╗¥i tham gia bid vß╗¢i 2 trß║íng th├íi kick + ko kick, phß╗Ñc hß╗ôi ng╞░ß╗¥i bß╗ï kick
2e26965 | Người: trngnneee | Ngày: 2026-01-07 | Nội dung: Feat: Hiß╗ân thß╗ï ds bidder ─æang tham gia ─æß║Ñu gi├í cho 1 sp, kick 1 bidder khß╗Åi phi├¬n ─æß║Ñu gi├í n├áy, bidder n├áy ko ─æ╞░ß╗úc bid sß║ún phß║⌐m n├áy nß╗»a
374d052 | Người: trngnneee | Ngày: 2026-01-07 | Nội dung: Bß╗Å xem tß║Ñt cß║ú
17f01c5 | Người: trngnneee | Ngày: 2026-01-07 | Nội dung: Fix: Wishlist button
bd0eef0 | Người: trngnneee | Ngày: 2026-01-07 | Nội dung: Fix toast
6be53ba | Người: khoavadienq | Ngày: 2026-01-07 | Nội dung: Fix Xem danh s├ích sß║ún phß║⌐m ─æang tham gia ─æß║Ñu gi├í (bidding list)
2ce3bd4 | Người: khoavadienq | Ngày: 2026-01-07 | Nội dung: Add danh s├ích sß║ún phß║⌐m ─æ├ú chiß║┐n thß║»ng, danh s├ích sß║ún phß║⌐m ─æang tham gia ─æß║Ñu gi├í, ─æ├ính gi├í sau khi ho├án tß║Ñt h├│a ─æ╞ín
89552c0 | Người: khoavadienq | Ngày: 2026-01-07 | Nội dung: Fix product page and handle winer_order
2931a01 | Người: trngnneee | Ngày: 2026-01-06 | Nội dung: Fix color
f2d7120 | Người: trngnneee | Ngày: 2026-01-06 | Nội dung: Merge branch 'main' of https://github.com/trngnneee/CSC13008_Web-Application-Development
ff9740b | Người: trngnneee | Ngày: 2026-01-06 | Nội dung: UI cho trang ds ─æß║Ñu gi├í cß╗ºa bidder + ds thß║»ng ─æß║Ñu gi├í, fix UI
6433d85 | Người: khoavadienq | Ngày: 2026-01-06 | Nội dung: Merge branch 'main' of https://github.com/trngnneee/CSC13008_Web-Application-Development
72c86dd | Người: khoavadienq | Ngày: 2026-01-06 | Nội dung: ─Éß╗ò data bid request ra product
6aa00c1 | Người: trngnneee | Ngày: 2026-01-06 | Nội dung: Fix: Recaptcha admin
638c199 | Người: trngnneee | Ngày: 2026-01-06 | Nội dung: Fix: UI product
e44bb00 | Người: trngnneee | Ngày: 2026-01-06 | Nội dung: Fix: UI phß║ºn bid req
24fa433 | Người: trngnneee | Ngày: 2026-01-06 | Nội dung: Merge branch 'main' of https://github.com/trngnneee/CSC13008_Web-Application-Development
6fca2c4 | Người: trngnneee | Ngày: 2026-01-06 | Nội dung: Fix toast
45c915d | Người: khoavadienq | Ngày: 2026-01-06 | Nội dung: Fix bid
3b4fa49 | Người: khoavadienq | Ngày: 2026-01-06 | Nội dung: Merge branch 'main' of https://github.com/trngnneee/CSC13008_Web-Application-Development
b8e7e4f | Người: khoavadienq | Ngày: 2026-01-06 | Nội dung: Fix
37b8a8e | Người: trngnneee | Ngày: 2026-01-06 | Nội dung: Fix: skeleton cho category
422fdf1 | Người: trngnneee | Ngày: 2026-01-06 | Nội dung: Feat: reCaptCHA cho admin account
71f37d5 | Người: trngnneee | Ngày: 2026-01-06 | Nội dung: Fix: Header + Wishlist button, sß╗¡a forgotpassword t├¼m th├¬m theo seller
6629d3b | Người: khoavadienq | Ngày: 2026-01-06 | Nội dung: Ra gi├í 1 sß║ún phß║⌐m ß╗ƒ view xem chi tiß║┐t sß║ún phß║⌐m
3b55c41 | Người: khoavadienq | Ngày: 2026-01-06 | Nội dung: Nhß╗»ng sß║ún phß║⌐m mß╗¢i ─æ─âng trong 30  ph├║t c├│ thß╗â hiß╗çn kh├íc
863976c | Người: khoavadienq | Ngày: 2026-01-06 | Nội dung: Update NavBar
889bcb5 | Người: khoavadienq | Ngày: 2026-01-06 | Nội dung: Top 5 sß║ún phß║⌐m c├│ nhiß╗üu l╞░ß╗út ra gi├í nhß║Ñt (sß║»p xß║┐p theo sß╗æ l╞░ß╗út giß║úm dß║ºn) Top 5 sß║ún phß║⌐m ch╞░a kß║┐t th├║c c├│ gi├í cao nhß║Ñt Top 5 sß║ún phß║⌐m gß║ºn kß║┐t th├║c (sß║»p xß║┐p theo thß╗¥i gian kß║┐t th├║c giß║úm dß║ºn)
62a6c9a | Người: khoavadienq | Ngày: 2026-01-06 | Nội dung: Fx logic UI cat product and user in admin
649e57c | Người: khoavadienq | Ngày: 2026-01-06 | Nội dung: Add: edit password of user in admin role
b597b17 | Người: trngnneee | Ngày: 2025-12-18 | Nội dung: Feat: UI hiß╗ân thß╗ï ds bidder y├¬u cß║ºu ─æ╞░ß╗úc bid sß║ún phß║⌐m
f282937 | Người: trngnneee | Ngày: 2025-12-11 | Nội dung: Fix: Chß╗ë gß╗¡i email cho participants nß║┐u ng╞░ß╗¥i ─æang reply l├á seller v├á l├á chß╗º cß╗ºa product ─æ├│
d93abf2 | Người: trngnneee | Ngày: 2025-12-11 | Nội dung: Feat: Gß╗¡i mail cho to├án bß╗Ö bidder/admin thgia trong 1 comment khi Seller reply
1aa730f | Người: khoavadienq | Ngày: 2025-12-11 | Nội dung: Fix bid
3a8d63b | Người: khoavadienq | Ngày: 2025-12-11 | Nội dung: Fix login and clear code
c62e1d9 | Người: khoavadienq | Ngày: 2025-12-11 | Nội dung: Bid product logic
a5658d2 | Người: trngnneee | Ngày: 2025-12-10 | Nội dung: Fix: Th├¬m thß╗¥i gian kß║┐t th├║c ─æß║Ñu gi├í cho sß║ún phß║⌐m + Feat: Hiß╗ân thß╗ï sß║ún phß║⌐m mß╗¢i tß║ío nß╗òi bß║¡t h╞ín
fae9124 | Người: trngnneee | Ngày: 2025-12-10 | Nội dung: Feat: ReCaptcha cho login/register cß╗ºa client
e662c31 | Người: trngnneee | Ngày: 2025-12-10 | Nội dung: Feat: Email th├┤ng b├ío vß╗ü comment mß╗¢i cho seller
d4600bc | Người: trngnneee | Ngày: 2025-12-10 | Nội dung: Feat: Hß╗Åi ng╞░ß╗¥i b├ín
150df5e | Người: trngnneee | Ngày: 2025-12-10 | Nội dung: Feat: Hiß╗ân thß╗ï ds sß║ún phß║⌐m c├╣ng danh mß╗Ñc trong Detail
c3ee2b6 | Người: trngnneee | Ngày: 2025-12-10 | Nội dung: Feat: Hiß╗ân thß╗ï ds sß║ún phß║⌐m gß║ºn kß║┐t th├║c
b574608 | Người: khoavadienq | Ngày: 2025-12-10 | Nội dung: Merge branch 'main' of https://github.com/trngnneee/CSC13008_Web-Application-Development
1469a79 | Người: khoavadienq | Ngày: 2025-12-10 | Nội dung: Add button thß╗¥i gian tß╗▒ ─æß╗Öng gia hß║ín in admin
7a3123c | Người: trngnneee | Ngày: 2025-12-10 | Nội dung: Fix: Sß╗¡a bug chß╗ù th├¬m desc history
fa6c42f | Người: trngnneee | Ngày: 2025-12-10 | Nội dung: Feat: Add watch list trong detail page
93d4bc6 | Người: trngnneee | Ngày: 2025-12-10 | Nội dung: Feat: Hiß╗ân thß╗ï desc theo thß╗¥i gian trong Detail Page
8d86862 | Người: trngnneee | Ngày: 2025-12-10 | Nội dung: Feat: Code ─æß╗â c├áo data + Sß╗¡a hiß╗ân thß╗ï Desc + Login ß║⌐n Desc d├ái trong detail page
d0d58fe | Người: trngnneee | Ngày: 2025-12-10 | Nội dung: Feat: Code ─æß╗â c├áo data + sß╗¡a giao diß╗çn description cß╗ºa sß║ún phß║⌐m
90d109c | Người: khoavadienq | Ngày: 2025-12-10 | Nội dung: Th├¬m admin tß╗▒ chß╗ënh tß╗▒ ─æß╗Öng gia hß║ín
22ec098 | Người: khoavadienq | Ngày: 2025-12-10 | Nội dung: Feat: Thß╗¥i ─æiß╗âm kß║┐t th├║c
